Codigo,Titulo no Brasil,Produtor ,Pais de origem ,Ano de producao ,Distribuidor do Jogo no Brasil ,Plataforma,Genero,Classificacao pretendida, Classificacao Atribuida ,Contem ,Tipo de Analise,Tipo do Material ,Requerente,Data Portaria ,Numero Portaria ,Data DOU,Secao 1/ Pagina
1,ROLLCAGE,BRASOFT/PI EDITORA,Franca,1999,Brasoft/PI Editora                                                              ,Computador,Acao                                              ,Inadequado para menores de 10 anos,Inadequado para menores de 14 anos,null,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
2,DELTA FORCE,BRASOFT/PI EDITORA,Estados Unidos da America,1999,Brasoft/PI Editora                                                              ,Computador,Variedades                                        ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Tematica adulta,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
2,DELTA FORCE,BRASOFT/PI EDITORA,Estados Unidos da America,1999,Brasoft/PI Editora                                                              ,Computador,Variedades                                        ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Tensao,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
2,DELTA FORCE,BRASOFT/PI EDITORA,Estados Unidos da America,1999,Brasoft/PI Editora                                                              ,Computador,Variedades                                        ,Inadequado para menores de 16 anos,Inadequado para menores de 16 anos,Violencia,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
3,PUTZGRILA,BRASOFT/PI EDITORA,Brasil,2001,Brasoft/PI Editora                                                              ,Computador,Variedades                                        ,livre,livre,null,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
4,CONQUEST FRONTIER WARS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Acao                                              ,livre,livre,null,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
4,CONQUEST FRONTIER WARS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Guerra                                            ,livre,livre,null,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
4,CONQUEST FRONTIER WARS,BRASOFT/PI EDITORA,Franca,2001,Brasoft/PI Editora                                                              ,Computador,Estrategia,livre,livre,null,Comum,Execucao do Software,PI Editora Ltda.,11/12/2001,1,11/12/2001,26
5,CASTROL HONDA SUPERBIKE 2000,BRASOFT/PI EDITORA,Franca,1999,GreenLeaf Distribuidora Ltda.                                                   ,Computador,Simulacao,livre,livre,null,Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001,1,11/12/2001,26
6,O SALÃO ENCANTADO,COMPEDIA,Estados Unidos da America,1998,CD Expert Editora e Distribuidora Ltda.                                         ,Computador,Infantil                                          ,livre,livre,Aprendizado Infantil (Formas, Cores, Motricidade, etc),Comum,Execucao do Software,CD Expert Editora e Distribuidora Ltda.,11/12/2001
